XGBoost Feature Importance (FI Features - Original Data)
============================================================

Sample Size: 100000
Total Features: 25
Preprocessing: Original Data (FI Features)
Categorical Encoding: OneHot
Data Checksum: abe919d373e72fc29cbf8725c44fd510

Top 25 Features by Importance (Aggregated):
 1. ContentRating: 0.3923
 2. Genre: 0.2242
 3. CurrentVersion: 0.0734
 4. AndroidVersion: 0.0504
 5. privacy_policy_link: 0.0354
 6. lowest_android_version: 0.0332
 7. DeveloperCategory: 0.0226
 8. isSpamming: 0.0217
 9. developer_website: 0.0217
10. SMS: 0.0133
11. days_since_last_update: 0.0132
12. max_downloads_log: 0.0129
13. highest_android_version: 0.0108
14. LastUpdated: 0.0091
15. PHONE: 0.0079
16. media: 0.0077
17. LenWhatsNew: 0.0077
18. bluetooth: 0.0067
19. CONTACTS: 0.0060
20. intent: 0.0058
21. provider: 0.0057
22. paid: 0.0054
23. developer_address: 0.0048
24. OneStarRatings: 0.0044
25. FourStarRatings: 0.0037
