XGBoost Feature Importance (FI Features - Standardized Preprocessing)
============================================================

Sample Size: 10000
Total Features: 25
Preprocessing: Standardized (FI Features)
Categorical Encoding: OneHot
Data Checksum: abe919d373e72fc29cbf8725c44fd510

Top 25 Features by Importance (Aggregated):
 1. Genre: 0.3192
 2. ContentRating: 0.2134
 3. AndroidVersion: 0.1001
 4. CurrentVersion: 0.0708
 5. lowest_android_version: 0.0551
 6. DeveloperCategory: 0.0319
 7. developer_website: 0.0231
 8. privacy_policy_link: 0.0171
 9. max_downloads_log: 0.0156
10. days_since_last_update: 0.0149
11. LastUpdated: 0.0149
12. SMS: 0.0141
13. highest_android_version: 0.0130
14. isSpamming: 0.0123
15. media: 0.0109
16. intent: 0.0091
17. LenWhatsNew: 0.0089
18. bluetooth: 0.0088
19. provider: 0.0080
20. FourStarRatings: 0.0079
21. developer_address: 0.0077
22. OneStarRatings: 0.0076
23. PHONE: 0.0068
24. CONTACTS: 0.0062
25. paid: 0.0025
