XGBoost Feature Importance (FI Features - Original Data)
============================================================

Sample Size: full
Total Features: 25
Preprocessing: Original Data (FI Features)
Categorical Encoding: OneHot
Data Checksum: abe919d373e72fc29cbf8725c44fd510

Top 25 Features by Importance (Aggregated):
 1. ContentRating: 0.4378
 2. Genre: 0.1753
 3. CurrentVersion: 0.0688
 4. privacy_policy_link: 0.0536
 5. AndroidVersion: 0.0475
 6. developer_website: 0.0251
 7. lowest_android_version: 0.0241
 8. isSpamming: 0.0228
 9. DeveloperCategory: 0.0202
10. LastUpdated: 0.0183
11. max_downloads_log: 0.0160
12. days_since_last_update: 0.0128
13. SMS: 0.0126
14. LenWhatsNew: 0.0085
15. PHONE: 0.0077
16. media: 0.0071
17. highest_android_version: 0.0068
18. CONTACTS: 0.0060
19. paid: 0.0050
20. developer_address: 0.0049
21. intent: 0.0044
22. bluetooth: 0.0043
23. OneStarRatings: 0.0039
24. provider: 0.0038
25. FourStarRatings: 0.0028
