XGBoost Feature Importance (Full Features - Standardized Preprocessing)
============================================================

Sample Size: full
Total Features: 47
Preprocessing: Standardized (Full Features)
Categorical Encoding: OneHot
Data Checksum: abe919d373e72fc29cbf8725c44fd510

Top 25 Features by Importance (Aggregated):
 1. ContentRating: 0.4219
 2. Genre: 0.1618
 3. CurrentVersion: 0.0644
 4. privacy_policy_link: 0.0526
 5. AndroidVersion: 0.0467
 6. developer_website: 0.0267
 7. isSpamming: 0.0248
 8. lowest_android_version: 0.0241
 9. DeveloperCategory: 0.0206
10. max_downloads_log: 0.0169
11. days_since_last_update: 0.0158
12. LastUpdated: 0.0136
13. SMS: 0.0119
14. LenWhatsNew: 0.0099
15. PHONE: 0.0087
16. highest_android_version: 0.0086
17. media: 0.0069
18. CONTACTS: 0.0065
19. developer_address: 0.0054
20. bluetooth: 0.0052
21. OneStarRatings: 0.0047
22. intent: 0.0047
23. paid: 0.0046
24. FourStarRatings: 0.0035
25. provider: 0.0035
